2026-07-14 09:59:25,http://198.204.228.26/live/cctv1hd.m3u8
文化精品,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ysjp
文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
文化精品,https://live.264788.xyz/channel/yangshiwenhuajingpin?streamid=bc185d1ef1e528922e83efd845006277&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
文化精品,http://107.150.60.122/live/ysjp.m3u8
文化精品,http://173.208.212.130:8181/720p/ysjp.m3u8
央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
央视台球,http://107.150.60.122/live/ystq.m3u8
央视台球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ystq
CCTV-4K,rtp://239.3.1.245:2000
央视台球,http://207.56.13.146:81/cdnlive/ystq.m3u8
北京文艺,rtp://239.3.1.242:8000
体育休闲,rtp://239.3.1.243:8000
北京影视,rtp://239.3.1.158:8000
北京新闻,rtp://239.3.1.159:8000
北京财经,rtp://239.3.1.116:8000
北京生活,rtp://239.3.1.117:8000
北京国际,rtp://239.3.1.235:8000
纪实科教,rtp://239.3.1.115:8000
卡酷少儿,rtp://239.3.1.189:8000
兵团卫视,rtp://239.3.1.168:8196
CGTN英语,rtp://239.3.1.215:4220
CCTV-4K,rtp://239.3.1.245:2000
CGTN纪录,rtp://239.3.1.216:4220
风云音乐,http://173.208.212.130:8181/720p/fyyy.m3u8
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
北京文艺,rtp://239.3.1.242:8000
CGTN西语,rtp://239.3.1.217:4220
风云音乐,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyyy
CCTV4K,http://101.35.240.114:88/live.php?id=CCTV4K
免费订阅：请勿贩卖...,https://material.yang-1989.xyz/v/302.mp4
体育休闲,rtp://239.3.1.243:8000
CGTN法语,rtp://239.3.1.218:4220
风云音乐,http://207.56.13.146:81/cdnlive/fyyy.m3u8
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
维护时间：2025-1-15#佛系维护...,https://material.yang-1989.xyz/v/301.mp4
北京影视,rtp://239.3.1.158:8000
CGTN阿语,rtp://239.3.1.219:4220
风云音乐,https://live.264788.xyz/channel/fengyunyinyue?streamid=be37d16b874e7ba11dd383d7ecd75752&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
维护内容：维护 Gather「删除 •IPV6 源」,https://material.yang-1989.xyz/v/302.mp4
北京新闻,rtp://239.3.1.159:8000
CGTN俄语,rtp://239.3.1.220:4220
第一剧场,https://live.264788.xyz/channel/diyijuchang?streamid=e9b0fb1ca135a4aeae12944494883794&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CGTN西语,https://0472.org/hls/cgtnx.m3u8
公告说明：IPV6 暂无,https://material.yang-1989.xyz/v/301.mp4
北京财经,rtp://239.3.1.116:8000
中国教育,rtp://239.3.1.57:8152
第一剧场,http://107.150.60.122/live/dyjc.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
晴彩广场舞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011523/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=YanG-1989
北京生活,rtp://239.3.1.117:8000
中国交通,rtp://239.3.1.188:8001
第一剧场,https://live.264788.xyz/channel/diyijuchang?streamid=d81e188b59ece96b7e8f1ce34aea3ef8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CGTN阿语,https://0472.org/hls/cgtna.m3u8
晴彩少年「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011525/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=YanG-1989
北京国际,rtp://239.3.1.235:8000
中国天气,rtp://239.3.1.165:8001
第一剧场,http://207.56.13.146:81/cdnlive/dyjc.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
晴彩竞技「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011528/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=YanG-1989
纪实科教,rtp://239.3.1.115:8000
四海钓鱼,rtp://239.3.1.164:8001
第一剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dyjc
CHC家庭影院,http://101.35.240.114:88/live.php?id=CHC家庭影院
晴彩篮球「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011529/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=YanG-1989
卡酷少儿,rtp://239.3.1.189:8000
金鹰纪实,rtp://239.3.1.58:8156
风云剧场,http://173.208.212.130:8181/720p/fyjc.m3u8
CHC动作电影,http://101.35.240.114:88/live.php?id=CHC动作电影
咪咕直播 𝟜𝕂-𝟙「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000005180/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=YanG-1989
兵团卫视,rtp://239.3.1.168:8196
证券服务,rtp://239.3.1.24:8001
风云剧场,http://207.56.13.146:81/cdnlive/fyjc.m3u8
CHC影迷电影,http://101.35.240.114:88/live.php?id=CHC影迷电影
咪咕直播 𝟜𝕂-𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000015686/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=YanG-1989
CGTN英语,rtp://239.3.1.215:4220
睛彩竞技,rtp://239.3.1.125:8001
风云剧场,https://live.264788.xyz/channel/fengyunjuchang?streamid=31e7b5b7032d25dd215a4069cdee1a48&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
重温经典,http://101.35.240.114:88/live.php?id=重温经典
咪咕直播 𝟙「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000005308/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=YanG-1989
CGTN纪录,rtp://239.3.1.216:4220
睛彩篮球,rtp://239.3.1.126:8001
风云剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyjc
翡翠台,http://101.35.240.114:88/live.php?id=翡翠台
咪咕直播 𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000005969/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=YanG-1989
CGTN西语,rtp://239.3.1.217:4220
睛彩青少,rtp://239.3.1.127:8001
